address,category,id,lat,lng,location,name,subCategory,details,reviews
Krijn taconiskade,poi,31076,52.35358244,5.005812993,Amsterdam,Titaan,Boat or Ferry,http://tour-pedia.org/api/getPlaceDetails?id=31076,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31076
,poi,31080,52.362841,4.983404,Amsterdam,C'est La Vie,Boat or Ferry,http://tour-pedia.org/api/getPlaceDetails?id=31080,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31080
Machineweg,poi,31086,52.41747162,4.738154411,Amsterdam,S102,Road,http://tour-pedia.org/api/getPlaceDetails?id=31086,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31086
,poi,31088,52.41549581,4.748868819,Amsterdam,Afrikahaven Amsterdam,Boat or Ferry,http://tour-pedia.org/api/getPlaceDetails?id=31088,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31088
,poi,31089,52.429052,4.749932002,Amsterdam,Connexxion Water Karla,Boat or Ferry,http://tour-pedia.org/api/getPlaceDetails?id=31089,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31089
,poi,31091,52.424632,4.762768,Amsterdam,MS Hanzestad,Boat or Ferry,http://tour-pedia.org/api/getPlaceDetails?id=31091,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31091
cacaohaven,poi,31094,52.41587496,4.762144089,Amsterdam,acs logistics,Boat or Ferry,http://tour-pedia.org/api/getPlaceDetails?id=31094,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31094
,poi,31095,52.406435,4.756748,Amsterdam,S102,Road,http://tour-pedia.org/api/getPlaceDetails?id=31095,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31095
,poi,31096,52.40638009,4.757416859,Amsterdam,Start Van De Groene Golf,Road,http://tour-pedia.org/api/getPlaceDetails?id=31096,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31096
,poi,31097,52.40227509,4.756487846,Amsterdam,Op Me Heftruck,Taxi,http://tour-pedia.org/api/getPlaceDetails?id=31097,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31097
,poi,31098,52.39810181,4.760986805,Amsterdam,Bushalte Oceaan Groep,Bus Line,http://tour-pedia.org/api/getPlaceDetails?id=31098,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31098
,poi,31100,52.423978,4.76636,Amsterdam,River Dream,Boat or Ferry,http://tour-pedia.org/api/getPlaceDetails?id=31100,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31100
Amerikahaven,poi,31102,52.418537,4.768916642,Amsterdam,Marpol 1,Boat or Ferry,http://tour-pedia.org/api/getPlaceDetails?id=31102,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31102
,poi,31103,52.414576,4.768522,Amsterdam,Boot Helena,Boat or Ferry,http://tour-pedia.org/api/getPlaceDetails?id=31103,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31103
cacaoweg 1,poi,31104,52.41416046,4.765899181,Amsterdam,Cacaohaven Amsterdam,Boat or Ferry,http://tour-pedia.org/api/getPlaceDetails?id=31104,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31104
,poi,31105,52.4137,4.767471,Amsterdam,MPS Princess,Boat or Ferry,http://tour-pedia.org/api/getPlaceDetails?id=31105,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31105
Westpoortweg,poi,31106,52.40609939,4.762204409,Amsterdam,Bushalte Westpoortweg,Bus Line,http://tour-pedia.org/api/getPlaceDetails?id=31106,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31106
,poi,31107,52.407123,4.770158,Amsterdam,Tanker Willi's,Boat or Ferry,http://tour-pedia.org/api/getPlaceDetails?id=31107,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31107
Laadbandje,poi,31109,52.40734103,4.778022766,Amsterdam,Graniet Import,Boat or Ferry,http://tour-pedia.org/api/getPlaceDetails?id=31109,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31109
,poi,31110,52.39965908,4.771978029,Amsterdam,Pendelbus naar Sloterdijk,Bus Line,http://tour-pedia.org/api/getPlaceDetails?id=31110,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31110
,poi,31111,52.398441,4.770906,Amsterdam,Westpoortweg,Road,http://tour-pedia.org/api/getPlaceDetails?id=31111,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31111
,poi,31112,52.39851129,4.771445152,Amsterdam,S102,Road,http://tour-pedia.org/api/getPlaceDetails?id=31112,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31112
"Dortmuiden, Amsterdam",poi,31113,52.39759759,4.778608431,Amsterdam,Bushalte Dortmuiden,Bus Line,http://tour-pedia.org/api/getPlaceDetails?id=31113,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31113
,poi,31114,52.39401279,4.778255271,Amsterdam,Toerit A5,Road,http://tour-pedia.org/api/getPlaceDetails?id=31114,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31114
,poi,31115,52.39910126,4.778390884,Amsterdam,aziehavenweg,Train,http://tour-pedia.org/api/getPlaceDetails?id=31115,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31115
,poi,31116,52.394642,4.778393,Amsterdam,Tanker Nina,Boat or Ferry,http://tour-pedia.org/api/getPlaceDetails?id=31116,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31116
,poi,31119,52.38651782,4.76827458,Amsterdam,A5 richting Coentunnel,Road,http://tour-pedia.org/api/getPlaceDetails?id=31119,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31119
,poi,31123,52.38390964,4.76122745,Amsterdam,Rijkeboerweg halfweg,Road,http://tour-pedia.org/api/getPlaceDetails?id=31123,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31123
,poi,31124,52.38400539,4.769568883,Amsterdam,"File N200 HMP 4,5",Road,http://tour-pedia.org/api/getPlaceDetails?id=31124,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31124
,poi,31125,52.3842659,4.766372681,Amsterdam,Sprinter naar Haarlem,Train,http://tour-pedia.org/api/getPlaceDetails?id=31125,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31125
,poi,31130,52.389334,4.777617,Amsterdam,Daveren,Road,http://tour-pedia.org/api/getPlaceDetails?id=31130,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31130
amsterdam en omstreken,poi,31132,52.38404322,4.776899447,Amsterdam,Keihard Scheuren In Een Spiksplinter Nieuwe BMW,Road,http://tour-pedia.org/api/getPlaceDetails?id=31132,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31132
,poi,31133,52.38404724,4.777710018,Amsterdam,N200,Road,http://tour-pedia.org/api/getPlaceDetails?id=31133,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31133
Osdorperweg,poi,31142,52.37161674,4.77596283,Amsterdam,Osdorperweg,Road,http://tour-pedia.org/api/getPlaceDetails?id=31142,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31142
,poi,31150,52.35377651,4.774471521,Amsterdam,Tramlijn 1,Light Rail,http://tour-pedia.org/api/getPlaceDetails?id=31150,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31150
,poi,31152,52.35293827,4.7766919,Amsterdam,Tramhalte Pilatus,Light Rail,http://tour-pedia.org/api/getPlaceDetails?id=31152,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31152
,poi,31153,52.35375,4.774342,Amsterdam,Tramhalte Matterhorn,Light Rail,http://tour-pedia.org/api/getPlaceDetails?id=31153,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31153
Schotse hooglanden 18,poi,31158,52.353059,4.771556,Amsterdam,Schotse Hooglanden,Road,http://tour-pedia.org/api/getPlaceDetails?id=31158,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31158
Kiepsteiger,poi,31162,52.409284,4.783095,Amsterdam,Graniet Import,Boat or Ferry,http://tour-pedia.org/api/getPlaceDetails?id=31162,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31162
,poi,31163,52.3918457,4.780892372,Amsterdam,Abberdaan Bushalte,Bus Station,http://tour-pedia.org/api/getPlaceDetails?id=31163,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31163
,poi,31164,52.38404424,4.779376348,Amsterdam,Haarlemmerweg,Road,http://tour-pedia.org/api/getPlaceDetails?id=31164,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31164
,poi,31165,52.38965607,4.784018993,Amsterdam,UC Transports,Road,http://tour-pedia.org/api/getPlaceDetails?id=31165,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31165
,poi,31166,52.384192,4.783406,Amsterdam,NS Boot Amsterdam-Haarlem,Boat or Ferry,http://tour-pedia.org/api/getPlaceDetails?id=31166,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31166
,poi,31168,52.38218635,4.791035711,Amsterdam,bushalte jm den uylstraat,Bus Station,http://tour-pedia.org/api/getPlaceDetails?id=31168,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31168
,poi,31169,52.38243265,4.790947325,Amsterdam,Vliegveld Amsterdam-West,Airport,http://tour-pedia.org/api/getPlaceDetails?id=31169,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31169
Nisserstraat,poi,31171,52.350532,4.782556,Amsterdam,Tramhalte Nisserstraat,Light Rail,http://tour-pedia.org/api/getPlaceDetails?id=31171,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31171
,poi,31172,52.360452,4.783946,Amsterdam,West autoverhuur,Rental Car Location,http://tour-pedia.org/api/getPlaceDetails?id=31172,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31172
Inaristraat,poi,31173,52.35035969,4.783087979,Amsterdam,Tramhalte Inaristraat,Light Rail,http://tour-pedia.org/api/getPlaceDetails?id=31173,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31173
,poi,31175,52.35540058,4.786239719,Amsterdam,tramhalte osdorp dijkgraafplein,Bus Station,http://tour-pedia.org/api/getPlaceDetails?id=31175,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31175
,poi,31177,52.3559,4.78435,Amsterdam,E190 Simulator FSC,Plane,http://tour-pedia.org/api/getPlaceDetails?id=31177,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31177
,poi,31178,52.36215842,4.785042446,Amsterdam,The Brick near the TNT Post,Road,http://tour-pedia.org/api/getPlaceDetails?id=31178,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31178
,poi,31180,52.351014,4.780674,Amsterdam,The Happy Hydrant,Taxi,http://tour-pedia.org/api/getPlaceDetails?id=31180,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31180
Ecuplein,poi,31182,52.3499,4.788668,Amsterdam,Tramhalte Ecuplein,Light Rail,http://tour-pedia.org/api/getPlaceDetails?id=31182,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31182
Somewhere in Europe,poi,31198,52.426047,4.786202,Amsterdam,"Ship ""Somtrans IV""",Boat or Ferry,http://tour-pedia.org/api/getPlaceDetails?id=31198,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31198
,poi,31206,52.398754,4.790045,Amsterdam,Rookplatform@amsterdam sloterdijk,Train Station,http://tour-pedia.org/api/getPlaceDetails?id=31206,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31206
,poi,31208,52.392397,4.791901,Amsterdam,"Flying Finish KP 2-4-6 Abberdaan, Rallypro Amsterdam Shortrally",Road,http://tour-pedia.org/api/getPlaceDetails?id=31208,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31208
,poi,31209,52.390003,4.790648,Amsterdam,"Verzamelplek Officials Annex Start KP1-3-5 Abberdaan, Rallypro Amsterdam Shortrally",Road,http://tour-pedia.org/api/getPlaceDetails?id=31209,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31209
,poi,31210,52.39050148,4.7917194,Amsterdam,bushalte Jarmuiden,Bus Station,http://tour-pedia.org/api/getPlaceDetails?id=31210,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31210
Freule Wttewaalpad,poi,31211,52.38013415,4.789421358,Amsterdam,Bushalte 21 Freule Wttewaalpad,Bus Line,http://tour-pedia.org/api/getPlaceDetails?id=31211,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31211
,poi,31212,52.36116746,4.788639138,Amsterdam,Bushalte Jan Rebelstraat,Bus Line,http://tour-pedia.org/api/getPlaceDetails?id=31212,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31212
,poi,31213,52.359192,4.788278,Amsterdam,"LangsH2O, Amsterdam",Road,http://tour-pedia.org/api/getPlaceDetails?id=31213,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31213
Dijkgraafplein,poi,31214,52.35657596,4.791939106,Amsterdam,Tram 17 Osdorp - Amsterdam Centraal,Light Rail,http://tour-pedia.org/api/getPlaceDetails?id=31214,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31214
Tussenmeer,poi,31215,52.356412,4.79163,Amsterdam,Halte Baden Powellweg,Bus Station,http://tour-pedia.org/api/getPlaceDetails?id=31215,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31215
,poi,31216,52.356559,4.791534,Amsterdam,Tramhalte Baden Powellweg,Light Rail,http://tour-pedia.org/api/getPlaceDetails?id=31216,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31216
,poi,31217,52.36223922,4.794048661,Amsterdam,Stef En Karen,Boat or Ferry,http://tour-pedia.org/api/getPlaceDetails?id=31217,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31217
,poi,31218,52.35842026,4.795252305,Amsterdam,Tussenmeer,Road,http://tour-pedia.org/api/getPlaceDetails?id=31218,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31218
Pieter Calandlaan,poi,31219,52.35093897,4.794384241,Amsterdam,Bushalte Baden Powellweg,Bus Station,http://tour-pedia.org/api/getPlaceDetails?id=31219,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31219
,poi,31224,52.4038801,4.7992644,Amsterdam,Intercity Sloterdijk - Hoorn,Train,http://tour-pedia.org/api/getPlaceDetails?id=31224,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31224
,poi,31225,52.39910262,4.794267342,Amsterdam,"Emplacementje Aziëhaven, Houtrakpolder (Hrp)",Train,http://tour-pedia.org/api/getPlaceDetails?id=31225,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31225
,poi,31226,52.402312,4.800449,Amsterdam,HUSA(acts) HQ-A'dam,Train,http://tour-pedia.org/api/getPlaceDetails?id=31226,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31226
,poi,31228,52.39755283,4.795114421,Amsterdam,Bushalte Westpoortweg,Bus Line,http://tour-pedia.org/api/getPlaceDetails?id=31228,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31228
,poi,31230,52.395999,4.794798,Amsterdam,Halte Bornhout,Bus Line,http://tour-pedia.org/api/getPlaceDetails?id=31230,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31230
Noordzeeweg 50,poi,31231,52.396213,4.80065,Amsterdam,Bakerstreet Benelux :: Noordzeeweg 50,Road,http://tour-pedia.org/api/getPlaceDetails?id=31231,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31231
,poi,31232,52.39915132,4.803295942,Amsterdam,Trein Sloterdijk - Den Helder Zuid,Train,http://tour-pedia.org/api/getPlaceDetails?id=31232,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31232
Sprinter Zandvoort Aan Zee naar Amsterdam CS,poi,31233,52.38911438,4.803716183,Amsterdam,Halfweg,Train,http://tour-pedia.org/api/getPlaceDetails?id=31233,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31233
Sierenborch 17,poi,31234,52.39074521,4.801990542,Amsterdam,Alphabet Rental Services Amsterdam,Rental Car Location,http://tour-pedia.org/api/getPlaceDetails?id=31234,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31234
Overal,poi,31235,52.383675,4.797124,Amsterdam,R2D2,Taxi,http://tour-pedia.org/api/getPlaceDetails?id=31235,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31235
Hornweg 54,poi,31236,52.3896553,4.80252042,Amsterdam,T.I.P trailer Rental,Rental Car Location,http://tour-pedia.org/api/getPlaceDetails?id=31236,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31236
Moving Target!,poi,31238,52.37606421,4.797656536,Amsterdam,Bus 21 Geuzenveld - Centraal Station,Bus Line,http://tour-pedia.org/api/getPlaceDetails?id=31238,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31238
Moving Target!,poi,31239,52.37970578,4.801612104,Amsterdam,Bus 61 Sloterdijk - Slotervaart,Bus Line,http://tour-pedia.org/api/getPlaceDetails?id=31239,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31239
,poi,31240,52.38387202,4.803165075,Amsterdam,Haarlemmerweg Halfweg-Amsterdam,Road,http://tour-pedia.org/api/getPlaceDetails?id=31240,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31240
Aalbersestraat,poi,31241,52.3824313,4.797922241,Amsterdam,Bushalte Aalbersestraat,Bus Station,http://tour-pedia.org/api/getPlaceDetails?id=31241,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31241
,poi,31243,52.376065,4.797573,Amsterdam,Bushalte De Sav. Lohmanstraat,Bus Station,http://tour-pedia.org/api/getPlaceDetails?id=31243,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31243
,poi,31245,52.37511951,4.801209149,Amsterdam,Bushalte Troelstralaan,Bus Station,http://tour-pedia.org/api/getPlaceDetails?id=31245,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31245
,poi,31246,52.37616433,4.8022066,Amsterdam,"Dylan, The Lancia Delta",Road,http://tour-pedia.org/api/getPlaceDetails?id=31246,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31246
,poi,31252,52.36672211,4.800599575,Amsterdam,Bus 268,Bus Line,http://tour-pedia.org/api/getPlaceDetails?id=31252,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31252
Nieuwelaan,poi,31254,52.36235204,4.800458615,Amsterdam,Nieuwelaan,Road,http://tour-pedia.org/api/getPlaceDetails?id=31254,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31254
,poi,31255,52.35800805,4.798766758,Amsterdam,Tramhalte Hoekenes,Light Rail,http://tour-pedia.org/api/getPlaceDetails?id=31255,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31255
,poi,31257,52.356728,4.798074,Amsterdam,Bushalte Wolbrantskerkweg,Bus Station,http://tour-pedia.org/api/getPlaceDetails?id=31257,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31257
,poi,31258,52.35120305,4.795766874,Amsterdam,Bus 192 richting Schiphol Zuid,Bus Line,http://tour-pedia.org/api/getPlaceDetails?id=31258,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31258
,poi,31259,52.359097,4.803191343,Amsterdam,Tramhalte Osdorpplein,Light Rail,http://tour-pedia.org/api/getPlaceDetails?id=31259,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=31259
