category,id,lat,lng,location,name,subCategory,reviews,Cost
restaurant,37372,51.5504,-0.075174,London,Sömine Restaraunt,Mediterranean Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37372,109
restaurant,37374,51.564965,0.199884,London,Tasty Tucker,Café,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37374,189
restaurant,37375,51.562633,0.191067,London,Oasis Cafe,Café,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37375,173
restaurant,37382,51.51257369,-0.306053348,London,Nando's,Portuguese Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37382,136
restaurant,37388,51.46264722,-0.216204822,London,Starbucks,Coffee Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37388,198
restaurant,37389,51.43410756,-0.015482311,London,Morley's,Fried Chicken Joint,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37389,122
restaurant,37392,51.54007309,-0.38341503,London,Twickenham Tandoori,Indian Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37392,121
restaurant,37393,51.6522421,-0.083297514,London,Starbucks,Coffee Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37393,102
restaurant,37399,51.53595262,-0.103689231,London,Desperados,Mexican Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37399,194
restaurant,37400,51.47029012,-0.458507538,London,The Bridge Bar and Eating House,Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37400,149
restaurant,37406,51.43801718,-0.126597583,London,Kennedy's,Fast Food Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37406,123
restaurant,37415,51.41264613,-0.300807965,London,Costa Coffee,Coffee Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37415,129
restaurant,37427,51.55576618,-0.176965194,London,Hampstead Creperie,Dessert Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37427,159
restaurant,37435,51.51902393,-0.1687029,London,Starbucks,Coffee Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37435,122
restaurant,37466,51.4448066,-0.205821991,London,Starbucks,Coffee Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37466,122
restaurant,37484,51.495609,-0.068276,London,Monmouth Coffee Company,Coffee Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37484,184
restaurant,37502,51.65059314,-0.063198961,London,Brothers Chinese,Chinese Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37502,200
restaurant,37506,51.5215685,-0.157294747,London,Starbucks,Coffee Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37506,186
restaurant,37520,51.60757091,0.033672855,London,Belgique,Coffee Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37520,139
restaurant,37528,51.61385955,-0.308346748,London,5M Coffee HQ,Coffee Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37528,161
restaurant,37546,51.64975,-0.064419,London,"Favourite Fried Chicken, Wood Green",Food Truck,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37546,166
restaurant,37551,51.53581837,-0.205130083,London,Starbucks,Coffee Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37551,172
restaurant,37553,51.54292591,-0.224887594,London,Ruhits,Indian Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37553,104
restaurant,37560,51.52135815,-0.157132455,London,Nando's,Portuguese Restaurant,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37560,183
restaurant,37563,51.50548369,-0.019183159,London,Paul,Bakery,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37563,162
restaurant,37565,51.45423876,-0.139946712,London,Starbucks,Coffee Shop,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37565,173
restaurant,37602,51.52732753,-0.058014772,London,Munch...Munch...,Sandwich Place,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=37602,161
