category,id,lat,lng,location,name,subCategory,reviews,Cost
attraction,36858,51.526272,-0.079869,London,Callooh Callay,Cocktail Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36858,58
attraction,36859,51.548627,-0.075971,London,Dalston Jazz Bar,Nightclub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36859,27
attraction,36864,51.49656,-0.23473,London,The Thatched House,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36864,15
attraction,36871,51.53399,-0.106065,London,N1 Centre,Mall,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36871,51
attraction,36872,51.630268,-0.175635,London,Boots,Arcade,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36872,26
attraction,36877,51.459765,-0.166443,London,The Bank,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36877,58
attraction,36893,51.48752,-0.0221,London,Masthouse Terrace Pier,Harbor  Marina,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36893,41
attraction,36894,51.442848,-0.149272,London,Adventure Bar,Cocktail Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36894,52
attraction,36895,51.561278,-0.073385,London,Coach & Horses,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36895,59
attraction,36897,51.464339,-0.16318,London,The Sugar Cane,Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36897,25
attraction,36900,51.461521,-0.138617,London,The Alexandra,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36900,46
attraction,36902,51.560291,-0.179901,London,Hampstead Observatory,Planetarium,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36902,41
attraction,36903,51.542812,-0.141996,London,Quinn's,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36903,39
attraction,36905,51.546911,-0.158869,London,The Sir Richard Steele,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36905,36
attraction,36906,51.553818,-0.16745,London,Roebuck,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36906,33
attraction,36909,51.485345,-0.288477,London,The Cricketers,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36909,54
attraction,36910,51.483237,-0.286707,London,Coach & Horses Hotel,Pub,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36910,59
attraction,36911,51.463158,-0.133917,London,Revolution,Bar,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=36911,40
