Amsterdam,realSum,room_private,person_capacity,cleanliness_rating,guest_satisfaction_overall,bedrooms,lng,lat
Amsterdam,221.2171631,TRUE,2,9,94,1,4.80823,52.3569
Amsterdam,441.2626251,TRUE,2,10,91,1,4.88958,52.38002
Amsterdam,325.4985588,TRUE,2,8,80,1,4.88956,52.38126
Amsterdam,792.7729478,FALSE,4,10,97,2,4.80772,52.36412
Amsterdam,213.9526164,TRUE,2,10,93,1,4.94459,52.3186
Amsterdam,1557.19073,FALSE,4,9,98,2,4.88228,52.37451
Amsterdam,317.0623111,TRUE,2,10,99,1,4.91,52.402
Amsterdam,319.6400534,FALSE,2,10,95,1,4.90258,52.3432
Amsterdam,1044.688679,FALSE,2,10,98,1,4.93297,52.3617
Amsterdam,310.9694655,FALSE,2,9,94,1,4.94479,52.3678
Amsterdam,295.0343308,FALSE,2,9,92,1,4.89443,52.41516
Amsterdam,344.245776,FALSE,2,7,82,0,4.91979,52.33963
Amsterdam,3004.944579,FALSE,4,9,95,4,4.88478,52.38683
Amsterdam,539.216835,FALSE,2,10,98,1,4.90733,52.34038
Amsterdam,460.9472031,TRUE,2,10,98,1,4.888,52.369
Amsterdam,1376.514424,FALSE,4,10,93,2,4.88707,52.39019
Amsterdam,415.4852014,FALSE,4,10,98,1,4.92022,52.41538
Amsterdam,215.1243175,TRUE,2,10,95,1,4.94593,52.37431
Amsterdam,393.4572212,TRUE,2,10,97,1,4.90441,52.36167
Amsterdam,232.2311532,TRUE,2,10,97,0,4.91,52.405
Amsterdam,774.2600708,FALSE,2,10,100,1,4.89575,52.35704
Amsterdam,291.0505472,TRUE,2,9,90,1,4.89496,52.379
Amsterdam,604.597755,FALSE,4,10,95,1,4.90042,52.35691
Amsterdam,467.0400487,FALSE,2,10,97,1,4.87254,52.37197
Amsterdam,744.4988634,FALSE,2,10,92,0,4.86068,52.35961
Amsterdam,250.7440302,TRUE,2,10,94,1,4.8684,52.36252
Amsterdam,544.1379795,TRUE,4,10,97,2,4.86873,52.37932
Amsterdam,424.1557894,FALSE,2,10,97,1,4.90867,52.34474
Amsterdam,675.6028402,FALSE,2,10,97,1,4.89768,52.36257
Amsterdam,909.4743749,FALSE,4,10,98,2,4.89072,52.34974
Amsterdam,264.1014224,TRUE,2,10,98,1,4.85345,52.38147
Amsterdam,196.6114405,TRUE,2,10,97,1,4.99394,52.29924
Amsterdam,700.442903,FALSE,4,9,97,2,4.82065,52.37422
Amsterdam,307.220022,TRUE,2,10,99,1,4.94913,52.37407
Amsterdam,528.2028449,TRUE,4,10,93,1,4.92111,52.33864
Amsterdam,675.6028402,FALSE,2,10,94,1,4.9399,52.36333
Amsterdam,675.6028402,FALSE,4,10,98,1,4.897,52.35577
Amsterdam,515.7828135,FALSE,3,9,97,1,4.93871,52.369
Amsterdam,442.6686664,FALSE,2,10,100,1,4.91029,52.36239
Amsterdam,596.1615073,FALSE,4,10,98,3,4.89247,52.35585
Amsterdam,920.488365,FALSE,4,10,99,3,4.89025,52.38431
Amsterdam,718.95578,FALSE,2,10,100,1,4.89006,52.3475
Amsterdam,276.5214538,TRUE,2,10,96,1,4.78696,52.34881
Amsterdam,988.2126872,FALSE,4,9,98,3,4.89051,52.35474
Amsterdam,270.4286083,TRUE,2,10,98,1,4.893,52.351
Amsterdam,798.6314531,FALSE,4,8,87,2,4.89001,52.37271
Amsterdam,3637.663159,FALSE,4,10,97,3,4.90355,52.37202
Amsterdam,479.4600801,FALSE,3,9,92,1,4.92243,52.37119
Amsterdam,934.0800975,FALSE,2,10,99,1,4.879,52.379
Amsterdam,639.0457666,FALSE,4,10,94,2,4.88431,52.38885
Amsterdam,1474.937314,TRUE,5,10,99,2,4.87948,52.37836
Amsterdam,1020.082956,FALSE,4,9,96,2,4.89297,52.36075
Amsterdam,1192.088674,FALSE,4,10,98,2,4.88651,52.37819
Amsterdam,798.6314531,FALSE,2,10,99,1,4.85108,52.35643
Amsterdam,854.4044243,FALSE,4,10,98,3,4.8698,52.34635
Amsterdam,614.4400441,TRUE,2,8,78,1,4.83983,52.36761
Amsterdam,283.7860005,TRUE,2,9,92,1,4.882,52.365
Amsterdam,870.1052188,FALSE,4,10,98,3,4.93745,52.35297
Amsterdam,180.2076254,TRUE,2,9,90,1,4.862,52.368
Amsterdam,242.0734422,TRUE,2,10,97,1,4.98141,52.32206
Amsterdam,418.0629438,TRUE,4,9,91,1,4.94807,52.3756
Amsterdam,281.4425984,TRUE,2,10,92,1,4.92623,52.36568
Amsterdam,215.1243175,TRUE,2,10,93,1,4.987,52.322
Amsterdam,448.5271717,TRUE,2,10,97,1,4.88887,52.36368
Amsterdam,614.4400441,FALSE,2,10,98,1,4.89525,52.35189
Amsterdam,279.0991962,TRUE,2,9,86,1,4.987,52.322
Amsterdam,663.6514892,FALSE,2,8,80,1,4.9117,52.34291
Amsterdam,279.0991962,TRUE,2,9,96,1,4.89016,52.34616
Amsterdam,1044.688679,FALSE,2,10,100,1,4.88204,52.37212
Amsterdam,299.7211351,TRUE,2,9,93,1,4.893,52.41042
Amsterdam,405.6429124,FALSE,2,10,89,1,4.8398,52.37533
Amsterdam,2556.183067,FALSE,6,10,99,3,4.88093,52.37778
Amsterdam,985.6349448,FALSE,2,10,97,1,4.86897,52.3612
Amsterdam,1214.116655,FALSE,4,9,93,0,4.88783,52.39035
Amsterdam,305.8139807,TRUE,4,10,96,1,4.83906,52.37755
Amsterdam,937.5952007,TRUE,4,9,92,1,4.887,52.365
Amsterdam,292.4565885,TRUE,2,9,87,1,4.84805,52.34101
Amsterdam,552.8085675,FALSE,4,10,99,1,4.83969,52.3501
Amsterdam,1228.880088,FALSE,4,8,80,2,4.83498,52.36698
Amsterdam,251.9157313,TRUE,2,8,86,1,4.92126,52.38666
Amsterdam,258.2429171,TRUE,2,9,91,1,4.875,52.347
Amsterdam,562.8851967,TRUE,4,10,96,1,4.8791,52.37409
Amsterdam,462.1189042,FALSE,2,10,90,0,4.89278,52.3699
